FName str,LName str,Gender str,AreaCode int,Phone str,City str,State str,Zip int,MaritalStatus str,HasChild str,Salary int,Rate float,SingleExemp float,MarriedExemp float,ChildExemp float
Hennie,Hannenhalli,F,,163-9973,ROSS,ND,58776.0,S,Y,30000.0,2.1034775,3300.0,0.0,3300.0
Jianjian,Jokiniemi,M,802.0,698-3590,BURLINGTON,VT,5401.0,M,Y,60000.0,4.1988535,0.0,6600.0,3300.0
Rene,Beke,F,801.0,619-2334,CORNISH,UT,84308.0,M,Y,25000.0,,0.0,4950.0,2475.0
Mansour,Tawfik,M,419.0,466-1171,CLEVELAND,OH,44111.0,S,Y,20000.0,1.2099231,1300.0,0.0,1300.0
Dushyanth,,,417.0,131-3931,,MO,65738.0,S,,40000.0,,2100.0,0.0,1200.0
Byoung,Claire,,347.0,721-3742,NEW YORK,NY,10268.0,S,,100000.0,4.5329266,0.0,0.0,1000.0
Elben,,F,731.0,666-7840,FLINTVILLE,TN,37335.0,S,N,5000.0,0.0,0.0,,0.0
Yuichiro,Uckun,F,808.0,605-9466,MOUNTAIN VIEW,HI,96771.0,S,N,75000.0,8.25,1040.0,0.0,0.0
PerOlof,,F,980.0,848-4643,POTECASI,NC,27867.0,S,Y,100000.0,7.8304195,,0.0,
Eduardus,Deineko,M,402.0,865-6591,BELVIDERE,NE,68315.0,M,Y,60000.0,6.84,0.0,206.0,103.0
Eser,Duparc,F,303.0,587-2027,CARR,CO,,S,N,15000.0,4.63,0.0,0.0,0.0
,Zullighoven,F,907.0,,KASILOF,AK,99610.0,S,N,70000.0,0.0,0.0,0.0,0.0
Jianxi,Comyn,F,808.0,404-9902,NAALEHU,HI,96772.0,M,Y,35000.0,7.3486843,0.0,2080.0,1040.0
Ria,Lindenbaum,M,870.0,153-9204,ALTUS,AR,,S,N,,7.0,20.0,0.0,0.0
Manju,Kipnis,F,443.0,126-6430,WEST RIVER,MD,20778.0,S,N,95000.0,4.75,2400.0,0.0,0.0
Dragan,Pagter,F,939.0,617-4759,MANATI,PR,674.0,S,Y,10000.0,0.0,,0.0,0.0
Changsik,Jacques,F,818.0,112-1701,FELLOWS,CA,93224.0,M,N,35000.0,7.7709284,0.0,,0.0
Bryony,Bassolet,F,603.0,572-1629,BARNSTEAD,,3218.0,S,N,35000.0,0.0,,0.0,0.0
Chuda,Kirkham,F,517.0,835-2893,,MI,48863.0,S,Y,,3.9,3100.0,0.0,3100.0
Mei,Boehm,F,651.0,,ANGLE INLET,,56711.0,S,Y,40000.0,6.3900213,3300.0,0.0,3300.0
Charley,,,302.0,616-2532,NEWARK,DE,19725.0,,Y,15000.0,2.8818183,0.0,220.0,
Ina,Muhlen,M,551.0,724-1961,STONE HARBOR,NJ,8247.0,M,Y,15000.0,1.4,0.0,2000.0,
Jonas,Malolepszy,M,907.0,910-1881,ANCHORAGE,AK,99510.0,M,,55000.0,0.0,0.0,0.0,0.0
Zhixue,Lucks,F,856.0,583-5483,SHREWSBURY,NJ,,M,N,,1.7942708,0.0,2000.0,0.0
Xianjing,Jolfaei,M,479.0,595-1516,CALDWELL,AR,72322.0,M,Y,35000.0,7.0,0.0,,
Maitreya,Wiegley,F,,134-4359,PINEVILLE,AR,72566.0,M,Y,90000.0,7.0,0.0,40.0,20.0
Khurram,Kawakami,F,878.0,202-9679,ALTOONA,PA,16601.0,M,,60000.0,3.07,0.0,0.0,0.0
Catharine,Dass,M,719.0,840-8003,FORT LUPTON,CO,80621.0,M,N,95000.0,4.63,0.0,0.0,0.0
Oron,Gerke,F,205.0,630-9271,EUFAULA,AL,36027.0,S,Y,,5.0,1500.0,,300.0
,Middleton,F,307.0,,,WY,82835.0,M,Y,60000.0,0.0,,,0.0
Eike,Michailidis,M,208.0,367-3449,MERIDIAN,ID,83646.0,M,N,50000.0,7.8,0.0,6600.0,0.0
Wiiliam,Devesa,F,219.0,282-6761,BIPPUS,IN,46713.0,S,N,40000.0,3.4,1000.0,0.0,0.0
,Kroll,F,315.0,624-1878,DEER PARK,NY,11729.0,M,N,55000.0,,0.0,0.0,0.0
Jeno,Broodsky,M,580.0,798-1694,WARNER,OK,74469.0,M,N,50000.0,6.25,0.0,2000.0,0.0
Chanathip,Sessa,F,919.0,331-8110,WINSTON SALEM,,27157.0,S,Y,75000.0,7.305944,,0.0,3300.0
Noburu,Luzi,F,605.0,556-1199,KAYLOR,SD,,S,,,0.0,0.0,0.0,0.0
Guoqiang,Busillo,M,856.0,545-4920,WINSLOW,NJ,8095.0,S,N,45000.0,,1000.0,0.0,0.0
Mel,Schend,M,479.0,851-3156,FORREST CITY,AR,72336.0,M,Y,20000.0,4.9682083,0.0,40.0,20.0
Judi,Engelmann,F,,335-9638,SWANSEA,SC,29160.0,S,N,45000.0,7.0,3300.0,0.0,0.0
,Waheed,F,,659-1774,ETTA,MS,38627.0,M,N,50000.0,5.0,0.0,12000.0,0.0
Estrella,Bertilsson,F,406.0,346-4682,GREAT FALLS,MT,59401.0,,N,,6.9,1900.0,0.0,0.0
Tomonari,Yeap,M,434.0,983-5738,DOLPHIN,VA,23843.0,M,Y,70000.0,5.75,0.0,1800.0,900.0
Alvaro,Rivard,M,408.0,405-9244,ALHAMBRA,CA,91841.0,S,Y,100000.0,9.3,87.0,0.0,
,Trivett,F,443.0,939-6008,BETHESDA,MD,20816.0,S,Y,70000.0,,2400.0,0.0,2400.0
,Melzak,F,208.0,298-6872,PINEHURST,ID,83850.0,S,N,65000.0,7.8,3300.0,0.0,0.0
Farzan,Knowles,M,808.0,345-8649,HONOLULU,HI,96810.0,S,N,60000.0,,1040.0,0.0,0.0
Fredric,Petry,M,478.0,930-7660,GRAYSON,GA,,S,N,65000.0,6.0,2700.0,0.0,0.0
Timm,Bhagavathi,M,337.0,,BATON ROUGE,LA,70891.0,M,Y,,,,9000.0,1000.0
Lynnau,Jarzabek,M,865.0,,BROWNSVILLE,TN,38012.0,S,N,40000.0,0.0,0.0,0.0,0.0
Etsuko,d'Inverno,M,618.0,969-5285,MOUND CITY,IL,62963.0,M,N,30000.0,3.0,0.0,4000.0,0.0
Nate,Koshkin,M,,978-8287,DEMING,NM,88030.0,M,N,,3.2428572,0.0,6600.0,0.0
Jolita,Can,M,843.0,596-1844,GABLE,SC,29051.0,S,N,25000.0,7.0,3300.0,0.0,0.0
,Heemskerk,,870.0,173-5525,MALVERN,AR,72104.0,S,Y,15000.0,3.773037,20.0,0.0,20.0
